"Points:0","Points:1","Points:2"
15.4862,67.9581,-24.4435
15.1159,68.5492,-24.4972
14.5634,67.9445,-24.3519
15.0657,67.2295,-24.3094
15.785,68.6802,-24.5842
15.8415,67.3774,-24.4137
16.4309,67.981,-24.5405
22.2021,64.0238,-25.0249
21.779,64.7762,-24.9577
21.1341,64.0543,-24.8736
21.6911,63.2782,-24.9929
22.917,64.0135,-25.1525
22.5773,63.263,-25.154
22.6413,64.7616,-25.1037
12.1221,71.8384,-24.8366
11.6394,72.5531,-24.9669
11.1511,71.9564,-24.7869
11.6521,71.2011,-24.6523
12.6535,71.0422,-24.7054
13.1415,71.6289,-24.8855
12.6404,72.3842,-25.0201
13.3646,77.8806,-26.6184
12.8633,78.6259,-26.753
13.8635,77.1254,-26.4741
14.3429,77.7125,-26.7073
13.8321,78.4681,-26.844
13.1394,76.9659,-26.3275
12.7144,77.7991,-26.517
15.8502,80.6936,-27.7849
15.3624,81.4584,-27.8858
16.338,79.9288,-27.684
16.8019,80.5064,-27.9411
16.3144,81.2812,-28.042
15.5737,79.7703,-27.4951
15.0859,80.535,-27.596
20.0215,73.0449,-26.3186
19.4921,73.7209,-26.4285
19.0806,73.1917,-26.1701
19.5719,72.4368,-26.0377
20.3737,73.9964,-26.7146
20.7908,73.1534,-26.537
20.5245,72.2796,-26.1939
19.7805,75.946,-27.2424
19.2772,76.7013,-27.3672
18.8238,76.1133,-27.0667
19.3246,75.348,-26.9322
20.0295,76.8203,-27.5996
20.5325,76.0551,-27.4748
20.2815,75.1908,-27.1078
26.9756,75.2334,-29.1312
26.4802,75.9985,-29.244
27.471,74.4684,-29.0183
27.8038,74.94,-29.3453
27.3084,75.705,-29.4581
26.6187,74.3819,-28.6546
26.1252,75.1369,-28.7773
0.277237,93.0491,-27.5948
0.957542,93.8301,-27.6917
0.434699,94.5857,-27.7286
0.658794,87.8349,-27.2877
0.135934,88.5905,-27.3247
0.199567,87.2678,-27.2345
1.26521,87.1169,-27.2529
1.67183,87.8157,-27.3286
1.17154,88.6006,-27.3708
7.14817,86.1872,-27.5586
6.71967,86.94,-27.6053
6.18851,86.3247,-27.4654
6.57411,85.4029,-27.3868
7.63317,85.3626,-27.4991
8.18543,85.9573,-27.6445
7.7381,86.9209,-27.7165
3.80057,94.459,-27.9931
3.47268,95.2389,-28.0277
4.23342,93.706,-27.9659
4.79091,94.4807,-28.1107
4.37975,95.233,-28.1432
3.58637,93.5845,-27.8842
3.20428,94.5161,-27.9314
9.26138,91.321,-28.4469
8.71764,92.067,-28.4373
9.75257,90.5965,-28.4479
10.339,91.3204,-28.6372
9.70733,92.0289,-28.606
8.86798,90.5916,-28.2965
8.50914,91.2023,-28.3067
2.69525,102.018,-29.2475
2.18658,102.774,-29.3939
1.53441,102.402,-29.2306
3.19634,101.263,-29.1129
3.75194,102.008,-29.3912
3.14377,102.626,-29.4774
2.40143,101.095,-28.9718
1.90252,101.851,-29.1161
5.34087,105.778,-30.8221
4.71503,106.497,-30.9536
5.84007,105.033,-30.6777
6.29347,105.621,-30.9782
5.78727,106.387,-31.1344
5.0745,104.904,-30.479
4.54879,105.671,-30.6396
8.79695,101.815,-30.3468
8.30157,102.58,-30.4596
7.82382,102.013,-30.1851
8.32138,101.248,-30.082
9.04061,102.729,-30.6746
9.53817,101.964,-30.5715
9.28475,101.05,-30.2459
11.9679,99.4626,-30.4934
11.4855,100.227,-30.5726
11.0173,99.6496,-30.296
11.511,98.8647,-30.2244
12.2381,100.356,-30.805
12.8904,99.5368,-30.7595
12.4057,98.7694,-30.4347
9.49219,107.053,-32.3093
8.99357,107.819,-32.4536
10.0292,106.377,-32.1875
10.4535,106.896,-32.5045
9.95427,107.641,-32.6488
9.08048,106.183,-31.8654
8.73859,106.964,-32.067
14.9777,105.026,-33.1402
13.89,105.427,-32.9432
14.3908,104.662,-32.8087
15.0776,106.145,-33.6236
14.6055,105.588,-33.2352
15.5762,105.38,-33.4793
15.3496,104.455,-33.0453
11.6542,84.5171,-27.902
11.0392,85.2753,-27.939
12.1738,83.8015,-27.8454
12.7277,84.5265,-28.0728
12.0749,85.2158,-28.0872
11.3862,83.6238,-27.6924
10.8922,84.3987,-27.764
16.298,88.1091,-29.451
15.8235,88.9232,-29.4672
15.3482,88.326,-29.2535
15.9306,87.3787,-29.2334
16.6904,88.8788,-29.6837
17.0609,88.2578,-29.6812
16.8573,87.4127,-29.4779
20.2273,84.3249,-29.8339
19.7169,85.1702,-29.8684
20.7059,83.5406,-29.7863
21.1839,84.1179,-30.0607
20.5431,84.9568,-30.0628
19.9707,83.411,-29.5398
19.4043,84.348,-29.587
17.1049,97.8365,-31.5467
17.5859,97.0621,-31.5088
18.3095,98.5438,-32.1209
17.835,97.9763,-31.8149
18.4834,97.1371,-31.8009
18.719,97.7713,-32.0374
21.3473,96.236,-32.492
21.7213,95.6248,-32.4579
22.1936,96.1923,-32.7541
21.6848,97.0175,-32.7984
20.9634,95.5359,-32.1961
21.0014,96.8064,-32.5197
20.5102,96.2594,-32.2277
21.9189,85.619,-30.6294
21.4138,86.464,-30.6421
21.0255,85.7241,-30.3779
21.4406,85.0317,-30.3549
22.2372,86.451,-30.889
22.6538,85.7386,-30.8759
22.3991,84.8147,-30.5915
25.0762,81.7861,-30.682
24.4834,82.6338,-30.7144
24.2557,82.0093,-30.4659
24.6738,81.1966,-30.3804
25.3093,82.6708,-31.0121
25.7925,81.8964,-30.9839
25.5643,80.9915,-30.6322
24.9566,90.1387,-32.4366
25.3446,90.8687,-32.7009
24.8709,91.6726,-32.6758
24.1576,90.131,-32.1638
24.6221,90.7286,-32.4208
24.0631,91.6952,-32.4051
23.7328,90.9737,-32.1689
28.1901,90.079,-33.6628
27.7377,90.8322,-33.6021
27.7175,89.5015,-33.3666
28.5624,90.7894,-33.951
29.0225,90.0761,-34.0409
28.5577,89.208,-33.6806
27.3976,90.0709,-33.327
20.2624,99.2702,-32.9689
19.7681,100.035,-33.0405
20.7492,98.5056,-32.9092
21.2274,99.053,-33.2348
20.7337,99.8379,-33.3063
20.0175,98.3859,-32.6313
19.3645,99.1451,-32.6357
24.6301,96.1544,-33.574
24.139,96.919,-33.6141
25.4637,96.1212,-33.8697
25.1038,95.3902,-33.5479
25.1083,96.7018,-33.8995
24.3905,95.2299,-33.2657
23.9081,96.0343,-33.2938
27.5177,96.665,-34.8278
26.8781,97.4337,-34.7986
26.697,96.918,-34.5607
27.1094,96.0955,-34.4969
27.7378,97.5501,-35.1915
28.2143,96.806,-35.1752
27.8863,96.054,-34.8155
31.4466,95.2054,-36.3249
30.9453,95.8097,-36.2029
30.7334,95.3149,-35.9616
31.0617,94.475,-35.937
31.7838,95.9772,-36.7236
31.9225,94.5516,-36.4319
32.1485,95.0461,-36.6906
22.6101,106.537,-36.5575
22.1145,107.292,-36.6704
21.8174,106.819,-36.3662
22.3207,106.064,-36.2414
23.0081,107.417,-37.0762
23.5034,106.652,-36.9634
23.1134,105.781,-36.4327
27.7685,105.192,-38.2217
27.2603,105.887,-38.2859
28.256,104.417,-38.1208
28.5558,104.87,-38.4858
28.0658,105.635,-38.577
27.3743,104.291,-37.6304
26.8865,105.056,-37.7313
31.854,99.8011,-38.0933
31.4017,100.595,-38.1659
32.4428,99.8553,-38.4746
32.2632,98.9086,-37.9787
32.0871,100.426,-38.5044
31.5491,98.948,-37.5744
31.0503,99.6727,-37.5854
35.3652,103.364,-42.1073
34.8884,104.058,-42.0826
35.6397,104.138,-42.6839
36.059,103.295,-42.6083
35.7891,102.491,-42.0101
35.0577,102.46,-41.4455
34.6136,103.274,-41.5061
39.2133,104.735,-45.947
38.9142,105.384,-45.944
39.1465,104.156,-45.6322
39.5943,105.366,-46.5609
39.8191,104.138,-46.261
39.8935,104.717,-46.5639
38.5234,104.753,-45.3324
56.1611,-51.4479,-103.666
56.5583,-51.0471,-104.337
57.1906,-50.4556,-104.198
56.6428,-51.002,-103.56
57.4208,-50.2849,-103.369
56.4079,-51.2676,-102.864
57.0949,-50.6273,-102.825
64.9632,-39.5066,-110.299
64.4828,-40.2825,-110.455
65.2061,-38.8109,-111.067
64.7978,-39.5696,-110.991
64.4591,-40.1398,-111.065
65.4425,-38.6508,-110.082
64.6667,-40.2111,-109.43
65.1317,-39.4042,-109.432
67.9484,-32.7724,-106.47
67.6729,-33.5942,-106.631
68.184,-32.0667,-107.157
67.9219,-32.8788,-107.377
67.7017,-33.5129,-107.301
68.2312,-31.8503,-106.42
67.6935,-33.5076,-105.746
67.9241,-32.7741,-105.717
68.1249,-32.1394,-105.798
79.6549,-10.46,-144.721
79.8008,-9.80434,-144.599
79.2866,-11.2998,-144.698
80.1415,-9.96256,-145.137
79.979,-10.5575,-145.315
79.7618,-11.201,-145.484
79.4037,-9.79441,-144.103
79.0946,-10.5362,-143.965
69.6572,-10.2903,-135.341
69.192,-9.67721,-135.149
68.6505,-10.3914,-135.298
69.0764,-11.0133,-135.498
70.1122,-10.883,-135.576
70.516,-10.3146,-135.518
70.1757,-9.54526,-135.269
70.7032,-19.3657,-113
70.7335,-18.5942,-113.631
70.5127,-20.1085,-113.624
70.6223,-19.3614,-113.602
70.6377,-20.0148,-112.746
70.8302,-18.6499,-112.738
70.8048,-19.4017,-112.035
71.1033,-8.85938,-120.342
71.2315,-8.14258,-120.408
70.8497,-9.75156,-120.611
71.1278,-8.13754,-121.046
70.9265,-8.87137,-121.252
71.0399,-9.65007,-119.657
71.1931,-8.89422,-119.646
71.3055,-8.23704,-119.695
71.5714,-5.87301,-135.615
72.2371,-5.90039,-136.215
71.8765,-6.73158,-135.811
71.716,-5.11615,-135.842
71.1749,-6.5928,-135.312
71.1867,-5.10224,-135.396
70.8106,-5.83248,-135.139
75.3362,-4.45864,-139.627
75.1659,-3.70394,-139.452
75.1425,-5.22404,-139.412
75.8634,-3.72222,-140.055
75.8001,-5.231,-140.064
76.0066,-4.47608,-140.246
74.656,-4.4409,-139.01
75.4382,-11.1951,-139.419
75.5071,-10.4271,-139.303
75.3317,-11.8419,-139.532
76.0932,-10.4717,-140.054
75.8494,-11.2054,-139.931
75.8487,-11.8348,-140.196
75.0054,-11.1842,-138.9
67.3999,-6.59911,-133.55
67.1375,-7.2316,-133.607
67.4219,-7.34797,-134.209
67.8526,-6.52999,-134.239
67.7081,-5.73788,-133.485
67.1164,-7.23349,-132.823
67.4448,-6.42285,-132.762
69.2789,-2.16083,-133.802
69.8265,-2.18457,-134.469
69.2256,-2.80858,-134.109
69.6223,-1.32026,-133.851
68.7997,-2.69897,-133.241
69.1183,-1.88804,-133.183
69.3595,-1.31494,-133.131
72.6913,0.787997,-120.112
72.8392,1.43422,-120.184
72.5403,0.032116,-120.133
72.8175,1.53703,-120.855
72.65,0.81168,-120.89
72.5867,0.0377723,-119.19
72.8899,1.54996,-119.292
72.707,0.665423,-119.463
81.9519,5.83596,-146.465
81.7726,6.50137,-146.446
82.0909,5.24158,-146.433
82.0757,5.90473,-147.196
82.2618,4.98849,-147.049
81.9605,5.0229,-145.692
81.8367,5.80692,-145.723
82.4877,1.33756,-146.157
82.7777,2.08228,-147.038
82.9218,1.32768,-147.003
82.6704,0.562388,-146.298
82.5397,1.96723,-146.445
82.2138,0.58333,-145.581
82.1957,1.34433,-145.628
82.1333,2.07627,-145.573
82.2108,-6.87663,-146.561
82.1075,-6.09423,-146.269
81.9589,-7.66986,-146.502
82.757,-6.12093,-146.934
82.6155,-6.88681,-147.044
82.5505,-7.48468,-147.2
81.5708,-6.86021,-145.894
74.4223,15.181,-156.83
74.1785,15.7973,-156.528
73.7087,15.0904,-156.446
73.9841,14.3633,-156.812
74.935,15.7967,-156.933
74.7658,14.2617,-157.16
75.2471,15.0283,-157.24
76.0791,21.7663,-156.995
75.7329,21.0159,-156.967
75.861,20.3027,-157.223
76.7834,21.6076,-157.555
76.3045,21.0007,-157.372
76.6213,20.2422,-157.699
77.0146,21.0815,-157.788
81.8074,16.369,-157.248
81.3867,17.1225,-157.56
80.8522,16.3881,-157.697
81.2589,15.6349,-157.368
82.2053,15.7261,-156.912
82.7168,16.4911,-156.759
82.289,17.0747,-157.061
86.7742,15.4381,-155.145
86.2929,16.2027,-155.275
85.7386,15.4586,-155.325
86.2341,15.0736,-155.162
87.2671,14.6631,-155.023
87.8558,15.4268,-155.171
87.4186,16.1798,-155.178
86.5985,14.5424,-155.028
89.4966,13.8901,-155.61
89.1162,14.6209,-155.461
89.3238,13.1342,-155.441
89.9813,14.6178,-156.078
90.1634,13.1122,-156.176
90.1984,13.8717,-156.232
89.8661,13.1198,-155.853
88.8342,13.728,-155.234
76.3307,2.23448,-139.335
75.936,2.99554,-139.118
75.8726,1.51691,-139.169
76.6369,1.48618,-139.613
77.0981,2.2337,-139.789
76.7158,2.97429,-139.539
75.342,2.27157,-138.849
78.8991,2.91577,-141.02
78.7429,3.67011,-140.862
78.6282,2.18296,-140.914
79.6161,3.6472,-141.61
79.3084,2.16522,-141.53
79.5814,2.898,-141.646
79.2798,3.65593,-141.296
78.1713,2.93508,-140.465
74.3289,11.9983,-133.605
74.5051,12.7634,-133.558
74.1511,11.2931,-133.591
74.704,12.91,-134.292
74.4596,11.9668,-134.334
74.446,12.8325,-132.731
74.2675,12.0276,-132.819
75.157,13.4793,-134.962
74.8334,12.6481,-134.908
75.5415,14.1203,-135.544
75.1241,12.7824,-135.735
75.3883,13.4749,-135.679
75.2665,14.2264,-134.94
74.9815,14.2525,-134.255
74.8378,13.4863,-134.264
75.3131,14.9734,-128.057
75.1553,14.2076,-128.049
75.4477,15.712,-128.747
75.3108,14.9558,-128.785
75.1943,14.3087,-128.717
75.4033,15.6909,-127.999
75.1307,14.1959,-127.296
75.2481,14.9528,-127.262
75.3634,15.7099,-127.311
77.3504,29.048,-136.706
76.8728,28.2521,-136.923
77.2627,28.4031,-137.595
77.8335,29.1565,-137.48
77.8181,29.7242,-136.553
76.8448,28.5312,-136.346
77.2369,29.2593,-136.077
80.3701,27.7144,-153.794
79.6882,28.0744,-153.814
79.3796,27.975,-154.374
79.9443,27.5391,-154.575
80.6133,26.9195,-154.578
81.0333,27.0452,-153.87
81.2731,27.2062,-153.223
80.7674,27.7702,-152.948
80.0801,28.1304,-152.989
88.1691,28.1302,-154.241
88.8045,28.1041,-154.98
88.3228,27.3662,-154.481
88.3934,28.8647,-154.46
87.6579,27.3834,-153.84
87.7421,28.8713,-153.744
87.5233,27.9868,-153.616
94.3039,20.5094,-163.699
93.7059,21.2566,-163.538
93.9066,19.8704,-163.611
94.7179,21.278,-163.753
93.4459,20.5236,-163.481
86.391,19.2113,-155.315
85.872,19.9867,-155.32
85.3568,19.242,-155.545
85.8497,18.467,-155.423
86.9837,18.4337,-155.272
87.4293,19.1711,-155.288
87.0187,19.9432,-155.229
93.5836,27.2458,-164.537
93.1287,28.0201,-164.785
92.5646,27.276,-164.744
93.0217,26.502,-164.599
93.9353,26.6545,-164.262
94.3163,27.2234,-164.149
94.108,27.9702,-164.31
96.0436,31.6918,-163.072
95.629,32.4346,-163.228
95.1928,31.7182,-163.62
95.573,30.9463,-163.451
96.5992,30.7949,-162.924
96.5678,31.6258,-162.811
96.1779,32.5476,-162.87
89.7299,35.5648,-156.346
90.0291,35.5083,-157.006
89.6745,34.8161,-156.335
89.8074,36.2931,-156.413
89.3101,34.8344,-155.617
89.4433,35.5714,-155.795
89.3798,36.1928,-155.565
95.1811,35.4079,-162.938
94.6436,36.254,-162.989
94.0946,35.5407,-163.334
94.7368,34.8616,-163.271
95.6598,34.7033,-162.788
96.0718,35.4104,-162.381
95.5354,36.1069,-162.595
92.9843,39.9649,-160.245
92.2022,39.3457,-159.762
92.6778,40.1422,-159.72
91.6809,39.2684,-158.997
92.0901,40.0568,-158.98
83.6768,28.8688,-150.541
83.8609,28.3642,-150.837
84.3723,28.9701,-150.981
84.0981,29.7372,-150.614
82.9928,28.2576,-150.313
83.3686,29.7367,-150.101
82.959,28.8579,-150.035
81.4905,34.3941,-147.307
81.2259,33.5018,-147.435
81.8061,35.1674,-147.977
81.4787,34.2371,-148.149
81.8372,35.0145,-147.355
81.3512,33.6456,-146.598
81.8979,34.8707,-146.726
81.5939,34.2689,-146.638
80.367,34.1282,-135.262
80.1727,33.5241,-135.437
79.8345,32.9739,-135.51
81.0082,34.1517,-135.929
80.533,33.3653,-135.971
79.7561,33.5346,-134.945
83.7566,42.4713,-137.68
83.6821,43.154,-137.76
84.1057,43.2337,-138.363
84.5092,42.4813,-138.25
84.2019,41.6981,-137.711
83.4524,41.7178,-137.059
83.3489,43.1619,-137.23
83.2568,42.5336,-136.992
89.2353,41.55,-152.685
88.7071,40.735,-152.677
89.2657,40.7911,-153.382
89.775,41.6267,-153.395
89.6814,42.3069,-152.516
89.1219,42.2208,-151.811
88.5904,41.4762,-151.916
98.5114,44.8779,-154.267
97.7872,44.2595,-154.549
98.5323,44.1998,-155.141
98.9764,44.9971,-155.096
98.8627,45.7684,-154.345
97.9544,44.6524,-153.775
98.4087,45.6891,-153.606
98.1804,45.0358,-153.726
97.6136,44.6913,-153.482
89.6746,45.2837,-141.647
90.3795,45.3352,-142.228
89.952,44.556,-141.839
89.8728,45.9791,-141.892
89.2979,44.3832,-141.318
89.2947,45.9944,-141.457
88.9201,45.2439,-141.118
93.7144,48.1322,-146.104
94.2808,48.118,-146.808
93.956,47.3653,-146.233
93.9095,48.8676,-146.33
93.3452,47.4207,-145.508
93.2881,48.143,-145.616
93.3196,48.8924,-145.611
3.00914,-78.9487,-47.8464
1.9661,-79.1277,-48.1171
2.61432,-79.2048,-48.64
3.71094,-79.0471,-48.4289
4.05792,-78.7897,-47.605
3.41023,-78.7026,-47.0822
2.25017,-78.8685,-47.2865
3.5026,-77.7329,-44.5642
2.94182,-77.9258,-44.882
3.55867,-78.1118,-45.4628
4.02863,-77.8569,-44.9601
4.55776,-77.5837,-44.4443
3.76893,-77.4125,-43.9222
2.77817,-77.5835,-44.0582
5.77222,-76.5339,-42.7134
4.6938,-76.7823,-42.8794
5.38338,-76.9608,-43.372
6.39891,-76.7803,-43.3016
6.35733,-76.2019,-42.3493
5.5875,-76.061,-41.9153
5.12748,-76.4263,-42.3849
10.1222,-73.2668,-40.0787
9.49544,-73.848,-40.38
10.3017,-73.9897,-40.8872
11.0274,-73.3314,-40.6052
11.2897,-72.8498,-40.2922
10.7928,-72.6368,-39.8294
9.97781,-72.5347,-39.3342
9.3976,-73.1173,-39.6148
25.5477,-71.358,-69.7562
24.8441,-71.7079,-69.7273
25.2239,-71.3859,-70.6068
26.0779,-71.0416,-70.2538
26.4174,-70.9942,-69.3792
25.0899,-71.6771,-69.0784
25.8793,-71.3203,-68.8936
25.6274,-72.225,-62.1337
24.8397,-72.7121,-62.2051
25.2018,-72.3996,-63.0988
26.0368,-71.9249,-62.689
26.3257,-71.7863,-61.7133
25.1005,-72.6121,-61.4302
25.8136,-72.1533,-61.2114
35.4778,-64.7971,-65.2405
34.8999,-65.4199,-65.4901
35.9934,-64.4998,-65.9052
35.5104,-64.9957,-66.0112
36.1043,-64.1454,-65.1133
35.7228,-64.2666,-64.4295
35.0042,-65.0258,-64.5256
16.8427,-76.358,-50.9521
16.0868,-76.7558,-51.1088
16.5262,-76.6569,-51.5953
