"Points:0","Points:1","Points:2"
185.286,122.057,61.5665
186.825,122.442,61.3286
189.212,123.132,61.2249
190.647,123.032,61.4105
191.163,122.328,61.749
192.484,123.178,61.7298
181.017,124.842,61.1314
181.014,123.338,61.8458
183.013,125.25,60.5496
188.064,123.318,61.079
189.049,124.117,60.9712
190.771,124.01,61.2214
192.305,123.98,61.5049
182.441,123.784,61.2362
190,125.164,60.9545
191.65,124.927,61.2593
192.94,124.709,61.5927
179.076,125.458,61.4846
179.215,126.444,60.9256
190.309,126.271,60.9524
192.393,125.75,61.4115
190.782,127.08,61.0993
192.657,126.797,61.5864
176.124,127.767,61.2173
177.156,126.44,61.6537
188.934,128.511,60.7895
192.309,127.548,61.6087
189.412,129.199,61.1352
170.973,129.805,61.9131
188.55,130.589,61.4574
190.188,129.761,61.613
170.451,130.735,61.3272
167.967,132.203,61.2921
169.26,131.18,61.5853
168.602,130.792,62.5189
185.567,131.984,61.2515
167.437,132.091,61.9439
166.687,132.364,62.3825
183.641,133.106,61.3823
185.729,132.534,61.8595
165.12,133.684,61.8633
165.884,133.12,62.0819
181.511,134.085,61.3163
182.6,133.691,61.4764
184.514,133.129,61.996
164.041,134.437,61.8838
179.283,134.879,61.5916
180.947,134.425,62.1073
181.98,134.148,61.9691
161.673,136.07,61.8047
175.895,135.768,61.3899
174.93,135.992,62.0279
176.61,135.527,62.1358
178.311,135.189,61.8116
160.426,137.055,61.8488
159.78,137.193,61.4094
161.003,136.653,61.8462
169.515,137.125,62.6313
171.06,137.035,61.6106
158.657,138.343,61.507
159.279,137.729,61.5706
166.612,137.889,62.334
158.773,138.921,61.5835
163.595,138.774,61.8621
164.758,138.596,61.7012
158.301,139.8,60.7903
159.434,139.696,61.3241
160.06,139.336,61.7377
161.867,139.178,61.6612
188.843,120.22,62.4715
184.712,121.651,61.8292
186.248,120.33,62.3374
186.958,121.163,61.8776
187.716,120.314,62.3219
189.293,121.332,61.91
190.7,121.586,62.016
190.067,119.913,62.9416
191.521,121.12,62.5299
192.171,120.492,63.2542
181.912,121.507,62.5375
183.155,121.546,62.1919
192.883,122.044,62.3694
194.153,121.633,62.9525
179.715,124.2,61.9054
193.188,123.044,62.0315
194.711,123.026,62.4217
196.089,122.71,62.9282
194.005,124.108,62.0096
195.833,123.981,62.4667
196.521,123.353,62.7771
178.548,124.473,62.2664
194.272,125.182,62.0085
195.901,124.793,62.4375
196.965,124.219,62.7716
194.747,125.942,62.2104
196.808,125.555,62.7693
194.515,127.008,62.3339
196.926,126.318,62.9587
192.236,128.235,61.7814
194.257,128.042,62.5525
171.942,127.932,62.9011
174.667,128.674,61.1565
191.303,128.989,61.684
170.366,129.693,62.3057
191.529,130.152,62.371
169.428,130.106,62.5706
188.354,131.31,61.8578
189.385,130.832,61.908
191.493,131.036,62.9104
167.395,131.577,62.8138
186.717,132.057,61.8661
188.76,131.893,62.5006
165.888,132.789,62.9566
166.658,131.97,63.3853
185.665,133.045,62.5251
186.759,132.7,62.5668
188.951,132.531,63.234
165.071,133.56,62.9153
183.075,133.879,62.1608
185.03,133.49,63.1502
186.28,133.272,63.2518
164.05,134.456,63.0528
163.299,134.919,62.2746
177.707,135.167,62.6667
178.646,134.761,63.1825
179.821,134.679,62.3705
181.693,134.294,62.8548
182.754,134.097,62.7628
162.332,135.916,62.8301
162.648,135.445,62.5846
173.193,136.643,61.1694
173.34,136.277,62.9933
160.168,137.696,62.0693
161.159,137.351,62.3869
161.777,136.697,62.6094
168.653,137.341,61.8412
159.524,138.343,61.9813
160.789,138.213,62.3279
162.01,138.009,62.6073
165.497,137.895,62.9049
167.345,137.598,63.0821
159.191,139.093,61.7768
160.387,138.847,62.1175
161.685,138.694,62.1928
162.742,138.419,62.4188
164.117,138.269,62.6343
184.006,118.694,63.6479
185.311,119.431,62.9743
186.606,119.308,62.9792
187.609,119.261,63.0393
188.697,119.321,63.1234
189.497,119.175,63.4634
190.451,118.97,64.0449
181.021,120.681,63.2601
180.444,120.028,63.8009
