"Points:0","Points:1","Points:2"
5.21312,-37.9487,-28.0602
8.69132,-33.5426,-29.46
8.37399,-32.8042,-29.1335
7.59011,-32.6028,-28.7227
10.7146,-48.4905,-34.8377
9.03435,-48.4134,-34.3943
7.91732,-40.9764,-28.5572
9.19412,-40.2823,-28.7518
12.7095,-43.277,-31.3369
13.5663,-43.3802,-31.8337
13.7996,-41.7886,-31.1017
12.431,-35.7292,-30.2267
14.9259,-35.8376,-31.4465
18.6559,-41.4084,-34.4317
13.756,-32.1531,-31.1346
13.9685,-33.0583,-31.5656
13.5547,-31.4596,-30.3215
12.874,-32.0694,-30.5721
17.116,-37.5079,-32.6148
22.567,-39.1409,-37.4631
21.844,-39.8821,-36.894
7.85179,-30.8962,-26.6166
10.3105,-28.9188,-25.8675
13.8525,-30.3717,-29.0716
14.8897,-29.2127,-28.5999
14.0431,-29.1201,-28.0097
15.9645,-27.794,-28.3559
16.6307,-27.7718,-28.8123
15.632,-26.866,-27.7057
15.6163,-19.547,-26.2896
17.3512,-25.5731,-28.3933
18.9973,-24.0978,-29.0974
0.164243,-18.3827,-22.0912
2.79198,-26.6704,-22.7229
5.21732,-19.2598,-21.9124
0.574394,-11.5866,-20.4731
24.3548,-25.7578,-34.0873
25.0428,-22.0385,-33.3214
20.6816,-8.35131,-31.7967
29.6697,-17.53,-36.6498
30.0268,-13.1954,-37.6294
33.5247,-26.854,-40.2891
37.2812,-27.583,-43.4456
32.0037,-26.7131,-39.2862
31.7093,-25.8558,-38.7706
29.0232,-20.6547,-36.0048
32.4334,-11.7692,-39.27
34.2513,-14.0593,-40.3739
35.0132,-14.0602,-40.7575
38.6293,-8.24991,-41.5386
46.7494,-8.40096,-49.1141
13.0066,-17.2353,-24.7576
17.4703,-15.8548,-27.6309
15.3356,-7.55906,-27.7546
15.2646,-6.07612,-27.8367
18.9507,-3.17235,-30.7445
19.1197,-3.97556,-31.3803
18.436,-3.80938,-30.2217
18.702,-3.16738,-30.0417
17.5074,-3.6168,-25.7063
17.988,-3.36853,-26.3582
18.8078,-2.47491,-25.4102
18.363,-2.83429,-24.7499
20.2789,4.28697,-25.9139
20.4113,2.68961,-25.0187
20.4112,11.0132,-31.3158
30.5429,5.63662,-37.2993
16.7643,2.19137,-14.4675
16.0325,2.83811,-12.9831
14.309,5.08817,-9.59393
3.18239,6.15816,0.648873
0.994279,10.5773,-0.580282
2.64326,9.55808,-0.250679
8.03156,5.97334,-1.1289
8.46017,6.90266,-1.54873
19.0804,0.581163,-19.9705
19.4774,1.20227,-20.7037
18.7444,0.458431,-19.2151
8.86002,11.9009,-3.96554
10.9355,12.8113,-7.13303
66.5074,-31.3054,-92.2169
71.0309,-18.6625,-104.303
66.9686,-24.5833,-86.7677
68.9773,-18.6156,-90.9399
72.0731,-5.95628,-114.05
71.8187,-7.47329,-100.322
